City,State,Country,Property Type clean,Sub-Area clean,Company Name clean,TownShip Name/ Society Name clean,Description clean,ClubHouse Clean,School / University in Township Clean,Hospital in TownShip Clean,Mall in TownShip Clean,Park / Jogging track Clean,Swimming Pool Clean,Gym Clean,Property Area in Sq. Ft. clean,Price in lakhs clean,log Price in lakhs clean,Price by sub-area,Price by company,Price by township_society,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,compound,negative,positive,neutral,amenities like,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,quality specification,stories offering,towers stories,world class
pune,maharashtra,india,1.0,bavdhan,shapoorji paloonji,vanaha,shapoorji paloonji comunity located suburbs bavadhan locality situated pleasant environment around bhk property comes swimming pool parking facilty community also comes temples churches near devotional purposes,1,1,1,1,1,1,1,492.0,39.0,3.6888794541139363,58.0439998626709,89.73400039672852,66.75,7.0,147.738,9,1,3,0.6705,0.0,0.186,0.814,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,bavdhan,shapoorji paloonji,vanaha,vanaha township located near lonavala hill range offers greenery filled environment friendly community comes bhk furnished affordable price,1,1,1,1,1,1,1,774.0,65.0,4.189654742026425,58.0439998626709,89.73400039672852,66.75,8.0,122.5,9,1,3,0.4939,0.0,0.158,0.842,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,bavdhan,shapoorji paloonji,vanaha,vanaha society suitable aged group people playareafor kids woodland teen park elderly person find serenity community also offers clubhouse gym facilities,1,1,1,1,1,1,1,889.0,74.0,4.31748811353631,58.0439998626709,89.73400039672852,66.75,9.0,111.5,9,1,3,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,bavdhan,shapoorji paloonji,vanaha,vanaha township offering bhk grand prpoerties bavdhan area newly launched podium level amenities speak language great design functionality,1,1,1,1,1,1,1,1018.0,89.0,4.499809670330265,58.0439998626709,89.73400039672852,66.75,9.0,111.5,8,1,3,0.8225,0.0,0.364,0.636,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,mahalunge,godrej properties,godrej hills retreat,area hub prestigious schools like bishop high school vibgyor intl school boston world school also offers quick access important highways bengaluru solapur mumbai expressway,1,1,1,1,1,1,1,743.0,74.0,4.31748811353631,73.55555555555556,84.5,84.5,8.0,122.5,12,1,6,0.5106,0.0,0.163,0.837,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,mahalunge,godrej properties,godrej hills retreat,strategically located mahalunge quaint nature loving yet connected suburb godrej hills retreat welcomes experience height high,1,1,1,1,1,1,1,975.0,95.0,4.564348191467836,73.55555555555556,84.5,84.5,9.0,111.5,5,3,2,0.8126,0.0,0.393,0.607,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,balewadi,anp corp,anp universe,boasts elegant towers stories offering bedroom balewadi quality specification great community form amenities like equipped clubhouse landscape garden,1,0,0,0,1,1,1,894.5,75.0,4.330733340286331,83.75,87.5,87.5,5.0,75.72947364940978,9,0,1,0.8658,0.0,0.393,0.607,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,3.0,balewadi,anp corp,anp universe,boasts elegant towers stories offering bedroom balewadi quality specification great community form amenities like swimming pools club house gym,1,0,0,0,1,1,1,1174.5,100.0,4.61512051684126,83.75,87.5,87.5,6.0,121.36200002288817,9,0,1,0.8658,0.0,0.377,0.623,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,2.0,ravet,urban space creator,urban skyline,urban space creator bhk flats ravet new residential construction nestled amongst reputed eon ravet parks world class amanora seasons malls offers flats sale ravet,1,0,0,0,1,1,1,905.0,65.0,4.189654742026425,86.58333333333333,132.8,132.8,5.0,75.72947364940978,11,1,3,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
pune,maharashtra,india,3.0,ravet,urban space creator,urban skyline,one top residential hubs connected parts pimpri talegaon areas like aundh wakad saudagar etc also easily accessible region,1,0,0,0,1,1,1,1125.0,88.0,4.48863636973214,86.58333333333333,132.8,132.8,6.0,121.36200002288817,6,2,4,0.6908,0.0,0.309,0.691,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,4.0,ravet,urban space creator,urban skyline,newly launched podium level amenities speak language great design functionality township nestled intersection three major routes viz old nh highway katraj dehu road mumbai expressway,1,0,0,0,1,1,1,1644.0,135.0,4.912654885736052,86.58333333333333,132.8,132.8,7.0,147.738,13,1,4,0.8316,0.0,0.286,0.714,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,5.0,ravet,urban space creator,urban skyline,located north western surrounded natural greens gets ample fresh air also offers many temples churches nearby religious activities done also comes package swimming pools gym etc,1,0,0,0,1,1,1,1671.04,188.0,5.241747015059643,86.58333333333333,132.8,132.8,8.0,122.5,3,3,8,0.5859,0.0,0.167,0.833,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,6.0,ravet,urban space creator,urban skyline,urban space creator amongst best using modern technology construction superstructure called alu form system wherein walls slabs typical floor gets cast one time,1,0,0,0,1,1,1,1671.04,188.0,5.241747015059643,86.58333333333333,132.8,132.8,9.0,111.5,10,2,3,0.6369,0.0,0.16,0.84,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,baner,vtp reality,vtp cierra,vtp cierra smartly designed bhk apartments vtp reality vtp cierra offers state art amenities time budget friendly,1,0,0,0,1,1,1,753.5,58.0,4.07753744390572,132.4475000254313,69.9466667175293,76.5,5.0,75.72947364940978,10,2,0,0.6908,0.0,0.275,0.725,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,baner,vtp reality,vtp cierra,vtp cierra smartly designed bhk apartments vtp reality various schools colleges hospitals eateries malls banks atm nearby,1,0,0,0,1,1,1,1051.0,95.0,4.564348191467836,132.4475000254313,69.9466667175293,76.5,6.0,121.36200002288817,4,2,1,0.3612,0.0,0.135,0.865,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,1.0,mahalunge,vtp reality,vtp blue water,vtp blue water offers state art amenities time budget friendly designed utmost precision planned perfection temples surrounded fresh environment around,1,0,0,0,1,1,1,423.0,40.0,3.713572066704308,73.55555555555556,69.9466667175293,58.666666666666664,4.0,64.43418602610744,9,1,3,0.8481,0.0,0.351,0.649,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,mahalunge,vtp reality,vtp blue water,vtp blue wateris designed utmost precision planned perfection strategic location gives close proximity airport business bay kharadi shivajinagar mumbai highway nagar road phoenix market city poona club,1,0,0,0,1,1,1,665.0,58.0,4.07753744390572,73.55555555555556,69.9466667175293,58.666666666666664,5.0,75.72947364940978,19,0,4,0.5719,0.0,0.125,0.875,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,mahalunge,vtp reality,vtp blue water,vtp blue water smartly designed bhk apartments vtp reality strategic location gives close proximity airport business bay kharadi shivajinagar mumbai highway nagar road phoenix market city poona club,1,0,0,0,1,1,1,878.5,78.0,4.3694478524670215,73.55555555555556,69.9466667175293,58.666666666666664,6.0,121.36200002288817,19,1,3,0.3612,0.0,0.085,0.915,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,1.0,ravet,waghvani constructions,om mangalam chaitanya,boasts elegant towers stories offering bedroom ravet quality specification great community form amenities like equipped clubhouse swimming pool children play park gym area,1,0,0,0,1,1,1,462.0,36.0,3.6109179126442243,86.58333333333333,42.0,42.0,4.0,64.43418602610744,11,0,1,0.9022,0.0,0.389,0.611,1,1,1,1,0,1,1,1,1,0
pune,maharashtra,india,2.0,ravet,waghvani constructions,om mangalam chaitanya,booming commercial residential growth infrastructural development high appreciation ravet next big destination humongorous om mangalam chaitanya property offers state art amenities time budget friendly,1,0,0,0,1,1,1,666.0,48.0,3.8918202981106265,86.58333333333333,42.0,42.0,5.0,75.72947364940978,13,1,7,0.8442,0.0,0.302,0.698,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,2.0,ravet,sukwani associates,sukwani aspire,robust infrastructure quality materials thoughtful design impressive facades hallmark excellence developed godrej properties also come swimming pool gym physical activities,1,0,0,0,1,1,1,750.0,57.0,4.060443010546419,86.58333333333333,68.0,68.0,5.0,75.72947364940978,6,1,5,0.9081,0.0,0.437,0.563,0,0,0,0,0,0,0,0,0,0
pune,maharashtra,india,3.0,ravet,sukwani associates,sukwani aspire,sukwani aspire flats ravet excellent opportunity rapidly growing residential area great situated ravet sukwani aspire location translates advantageous investment east flourishing location,1,0,0,0,1,1,1,1030.0,79.0,4.382026634673881,86.58333333333333,68.0,68.0,6.0,121.36200002288817,10,1,5,0.93,0.0,0.465,0.535,0,0,0,0,0,0,0,0,0,0
